chunk	wave	band	w_wall	w_cpu	rss
#INVALID chunk_20260909_021049	1	x=4000..4007,z=3200	16.0s	13.8s	1267.4
#INVALID chunk_20260909_021049	2	x=4064..4071,z=3200	5.1s	3.0s	1270.9
#INVALID chunk_20260909_021049	3	x=4128..4135,z=3200	5.1s	3.3s	1270.9
#INVALID chunk_20260909_021049	4	x=4192..4199,z=3200	4.6s	2.8s	1272.5
#INVALID chunk_20260909_021049	5	x=4256..4263,z=3200	5.1s	3.0s	1273.5
#INVALID chunk_20260909_021049	6	x=4320..4327,z=3200	4.6s	2.4s	1274.0
#INVALID chunk_20260909_021049	7	x=4384..4391,z=3200	5.1s	3.0s	1273.2
#INVALID chunk_20260909_021049	8	x=4448..4455,z=3200	6.0s	2.2s	1276.9
#INVALID chunk_20260909_021049	9	x=4512..4519,z=3200	4.6s	1.9s	1278.2
#INVALID chunk_20260909_021049	10	x=4576..4583,z=3200	4.6s	2.0s	1279.3
#INVALID chunk_20260909_021049	11	x=4640..4647,z=3200	4.5s	1.6s	1278.6
#INVALID chunk_20260909_021049	12	x=4704..4711,z=3200	4.5s	2.1s	1278.8
chunk_20260909_021652	1	x=4000..4127,z=3200..3327	27.1s	32.8s	1198.8
chunk_20260909_021652	2	x=4128..4255,z=3200..3327	14.8s	11.5s	1206.4
chunk_20260909_021652	3	x=4256..4383,z=3200..3327	18.2s	11.3s	1292.2
chunk_20260909_021652	4	x=4384..4511,z=3200..3327	13.3s	8.8s	1293.7
chunk_20260909_021652	5	x=4512..4639,z=3200..3327	7.6s	6.3s	1293.8
chunk_20260909_021652	6	x=4640..4767,z=3200..3327	9.7s	8.6s	1448.6
chunk_20260909_021652	7	x=4768..4895,z=3200..3327	10.2s	9.3s	1568.2
chunk_20260909_021652	8	x=4896..5023,z=3200..3327	24.4s	16.5s	1573.7
chunk_20260909_021652	9	x=5024..5151,z=3200..3327	8.2s	6.6s	1610.1
chunk_20260909_021652	10	x=5152..5279,z=3200..3327	8.1s	6.0s	1610.3
chunk_20260909_021652	11	x=5280..5407,z=3200..3327	7.6s	5.4s	1611.2
chunk_20260909_021652	12	x=5408..5535,z=3200..3327	12.1s	6.5s	1687.6
chunk_20260909_022544	1	x=4000..4127,z=3200..3327	36.2s	34.4s	1326.3
chunk_20260909_022544	2	x=4128..4255,z=3200..3327	10.3s	9.4s	1332.9
chunk_20260909_022544	3	x=4256..4383,z=3200..3327	19.3s	12.4s	1341.9
chunk_20260909_022544	4	x=4384..4511,z=3200..3327	11.7s	8.4s	1344.9
chunk_20260909_022544	5	x=4512..4639,z=3200..3327	12.2s	7.6s	1353.4
chunk_20260909_022544	6	x=4640..4767,z=3200..3327	9.7s	8.2s	1407.5
chunk_20260909_022544	7	x=4768..4895,z=3200..3327	18.2s	11.1s	1633.7
chunk_20260909_022544	8	x=4896..5023,z=3200..3327	18.4s	14.1s	1636.1
chunk_20260909_022544	9	x=5024..5151,z=3200..3327	10.7s	8.1s	1638.3
chunk_20260909_022544	10	x=5152..5279,z=3200..3327	12.6s	7.8s	1638.7
chunk_20260909_022544	11	x=5280..5407,z=3200..3327	8.1s	5.5s	1638.1
chunk_20260909_022544	12	x=5408..5535,z=3200..3327	8.6s	6.1s	1638.3
chunk_20260909_022544	13	x=5536..5663,z=3200..3327	8.1s	5.8s	1658.1
chunk_20260909_022544	14	x=5664..5791,z=3200..3327	10.1s	6.3s	1659.6
chunk_20260909_022544	15	x=5792..5919,z=3200..3327	12.1s	7.7s	1695.3
chunk_20260909_022544	16	x=5920..6047,z=3200..3327	8.2s	6.2s	1807.6
chunk_20260909_022544	17	x=6048..6175,z=3200..3327	7.6s	5.0s	1807.7
chunk_20260909_022544	18	x=6176..6303,z=3200..3327	10.7s	6.9s	1819.3
chunk_20260909_022544	19	x=6304..6431,z=3200..3327	8.2s	6.2s	1918.1
chunk_20260909_022544	20	x=6432..6559,z=3200..3327	8.1s	5.3s	1914.8
chunk_20260909_022544	21	x=6560..6687,z=3200..3327	8.7s	7.1s	1914.8
chunk_20260909_022544	22	x=6688..6815,z=3200..3327	10.2s	6.7s	1992.6
chunk_20260909_022544	23	x=6816..6943,z=3200..3327	11.6s	6.2s	2093.6
chunk_20260909_022544	24	x=6944..7071,z=3200..3327	8.2s	6.1s	2070.9
chunk_20260909_022544	25	x=7072..7199,z=3200..3327	8.6s	5.8s	2089.0
chunk_20260909_022544	26	x=7200..7327,z=3200..3327	8.7s	6.9s	2095.5
chunk_20260909_022544	27	x=7328..7455,z=3200..3327	8.1s	5.8s	2099.4
chunk_20260909_022544	28	x=7456..7583,z=3200..3327	8.1s	6.6s	2221.9
chunk_20260909_022544	29	x=7584..7711,z=3200..3327	9.1s	6.8s	2196.3
chunk_20260909_022544	30	x=7712..7839,z=3200..3327	8.1s	5.3s	2216.8
chunk_20260909_022544	31	x=7840..7967,z=3200..3327	9.1s	7.0s	2217.0
chunk_20260909_022544	32	x=7968..8095,z=3200..3327	7.6s	4.7s	2217.3
chunk_20260909_022544	33	x=8096..8223,z=3200..3327	8.6s	6.3s	2221.5
chunk_20260909_022544	34	x=8224..8351,z=3200..3327	7.1s	4.4s	2221.5
chunk_20260909_022544	35	x=8352..8479,z=3200..3327	18.7s	9.8s	2223.3
chunk_20260909_022544	36	x=8480..8607,z=3200..3327	7.0s	4.1s	2214.4
chunk_20260909_022544	37	x=8608..8735,z=3200..3327	9.1s	7.5s	2276.2
chunk_20260909_022544	38	x=8736..8863,z=3200..3327	8.1s	5.2s	2233.5
chunk_20260909_022544	39	x=8864..8991,z=3200..3327	9.2s	7.3s	2312.0
chunk_20260909_022544	40	x=8992..9119,z=3200..3327	20.1s	10.2s	2536.5
